,0
0,Arkansas
1,Connecticut
2,Delaware
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Louisiana
10,Maine
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,North Dakota
21,Oklahoma
22,Oregon
23,Rhode Island
24,South Dakota
25,Tennessee
26,Vermont
27,Virginia
28,West Virginia
29,Wisconsin
